account_id,customer_id,account_type,creation_date,segment,risk_profile,status,home_region,expected_activity_category,is_synthetic_suspicious,scenario_id
ACC-A-001,CUST-A-001,current,2025-07-23T12:00:00,sme,low,active,Mumbai,small_business,False,SCENARIO-001
ACC-B-001,CUST-B-001,current,2026-04-19T12:00:00,retail,low,active,Mumbai,merchant,True,SCENARIO-001
ACC-C-001,CUST-C-001,savings,2026-06-03T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-D-001,CUST-D-001,savings,2026-01-26T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-E-001,CUST-E-001,savings,2026-02-10T12:00:00,retail,low,active,Mumbai,student,False,
ACC-F-001,CUST-F-001,savings,2026-02-21T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-G-001,CUST-G-001,savings,2026-04-05T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0100,CUST-0100,current,2022-08-30T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0101,CUST-0101,savings,2026-04-11T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0102,CUST-0102,savings,2025-02-24T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0103,CUST-0103,savings,2022-06-10T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0104,CUST-0104,savings,2023-02-25T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0105,CUST-0105,current,2026-06-02T12:00:00,corporate,low,active,Bangalore,merchant,False,
ACC-0106,CUST-0106,savings,2024-07-19T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0107,CUST-0107,savings,2021-02-01T12:00:00,retail,low,active,Pune,salary,False,
ACC-0108,CUST-0108,savings,2024-04-28T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0109,CUST-0109,savings,2024-07-11T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0110,CUST-0110,current,2022-05-13T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0111,CUST-0111,savings,2021-04-14T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0112,CUST-0112,savings,2024-10-23T12:00:00,retail,low,active,Pune,salary,False,
ACC-0113,CUST-0113,savings,2022-07-04T12:00:00,retail,low,active,Delhi,student,False,
ACC-0114,CUST-0114,savings,2025-03-06T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0115,CUST-0115,current,2021-08-29T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0116,CUST-0116,current,2024-04-28T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0117,CUST-0117,savings,2021-10-11T12:00:00,retail,low,active,Pune,salary,False,
ACC-0118,CUST-0118,savings,2024-06-18T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0119,CUST-0119,savings,2022-07-09T12:00:00,retail,low,active,Delhi,student,False,
ACC-0120,CUST-0120,savings,2025-06-30T12:00:00,retail,low,active,Chennai,student,False,
ACC-0121,CUST-0121,savings,2024-04-29T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0122,CUST-0122,current,2022-11-13T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0123,CUST-0123,savings,2021-09-23T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0124,CUST-0124,savings,2026-04-11T12:00:00,retail,low,active,Pune,salary,False,
ACC-0125,CUST-0125,savings,2026-01-31T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0126,CUST-0126,current,2023-04-11T12:00:00,sme,low,active,Pune,small_business,False,
ACC-0127,CUST-0127,savings,2023-08-28T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0128,CUST-0128,current,2022-11-07T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0129,CUST-0129,savings,2025-09-03T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0130,CUST-0130,current,2023-06-08T12:00:00,corporate,low,active,Hyderabad,merchant,False,
