customer_id,customer_type,occupation_or_business_category,expected_activity_category,geographic_region
CUST-A-001,business,small_business,small_business,Mumbai
CUST-B-001,business,merchant,merchant,Pune
CUST-C-001,individual,salary,salary,Hyderabad
CUST-D-001,individual,salary,salary,Delhi
CUST-E-001,individual,student,student,Delhi
CUST-F-001,individual,salary,salary,Kolkata
CUST-G-001,individual,student,student,Ahmedabad
CUST-0100,business,merchant,merchant,Mumbai
CUST-0101,individual,student,student,Ahmedabad
CUST-0102,individual,salary,salary,Chennai
CUST-0103,individual,student,student,Pune
CUST-0104,individual,salary,salary,Ahmedabad
CUST-0105,business,merchant,merchant,Bangalore
CUST-0106,individual,student,student,Mumbai
CUST-0107,individual,salary,salary,Ahmedabad
CUST-0108,individual,salary,salary,Delhi
CUST-0109,individual,salary,salary,Pune
CUST-0110,business,merchant,merchant,Delhi
CUST-0111,individual,student,student,Bangalore
CUST-0112,individual,salary,salary,Mumbai
CUST-0113,individual,student,student,Chennai
CUST-0114,individual,salary,salary,Ahmedabad
CUST-0115,business,small_business,small_business,Ahmedabad
CUST-0116,business,merchant,merchant,Bangalore
CUST-0117,individual,salary,salary,Pune
CUST-0118,individual,salary,salary,Pune
CUST-0119,individual,student,student,Hyderabad
CUST-0120,individual,student,student,Kolkata
CUST-0121,individual,salary,salary,Kolkata
CUST-0122,business,small_business,small_business,Pune
CUST-0123,individual,student,student,Mumbai
CUST-0124,individual,salary,salary,Pune
CUST-0125,individual,salary,salary,Delhi
CUST-0126,business,small_business,small_business,Pune
CUST-0127,individual,salary,salary,Delhi
CUST-0128,business,merchant,merchant,Kolkata
CUST-0129,individual,salary,salary,Hyderabad
CUST-0130,business,merchant,merchant,Hyderabad
CUST-0131,business,merchant,merchant,Bangalore
CUST-0132,individual,salary,salary,Pune
CUST-0133,individual,salary,salary,Delhi
CUST-0134,individual,salary,salary,Bangalore
CUST-0135,individual,student,student,Pune
CUST-0136,individual,student,student,Hyderabad
CUST-0137,business,small_business,small_business,Kolkata
CUST-0138,individual,student,student,Bangalore
CUST-0139,business,merchant,merchant,Delhi
CUST-0140,individual,salary,salary,Hyderabad
CUST-0141,individual,salary,salary,Kolkata
CUST-0142,business,small_business,small_business,Pune
CUST-0143,individual,student,student,Bangalore
CUST-0144,business,merchant,merchant,Delhi
CUST-0145,individual,salary,salary,Kolkata
CUST-0146,individual,student,student,Pune
CUST-0147,individual,student,student,Mumbai
CUST-0148,individual,salary,salary,Pune
CUST-0149,individual,salary,salary,Hyderabad
CUST-0150,individual,salary,salary,Bangalore
