transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,channel,transaction_type,merchant_category,location,status,scenario_id,ground_truth_pattern
TXN-185CFB538635,2026-07-15 12:11:51,ACC-0379,ACC-0375,20733.37,INR,IMPS,transfer,,Hyderabad,completed,,
TXN-38B0CD6503CB,2026-07-15 12:14:53,ACC-0114,ACC-0409,21829.12,INR,IMPS,transfer,shopping,Bangalore,completed,,
TXN-06D939611DD0,2026-07-15 12:36:54,ACC-0124,ACC-0339,19608.34,INR,IMPS,transfer,groceries,Hyderabad,completed,,
TXN-C51D629A5112,2026-07-15 12:45:45,ACC-0442,ACC-0362,8106.05,INR,UPI,transfer,rent,Chennai,completed,,
TXN-F74911AFD207,2026-07-15 12:46:19,ACC-0388,ACC-0553,44231.36,INR,IMPS,transfer,,Kolkata,completed,,
TXN-FE2DA811B20F,2026-07-15 13:45:23,ACC-0472,ACC-0470,130558.09,INR,RTGS,transfer,shopping,Chennai,completed,,
TXN-41CF9D28CFFC,2026-07-15 13:50:21,ACC-0511,ACC-0345,13424.33,INR,UPI,transfer,medical,Kolkata,completed,,
TXN-14D30EC415CE,2026-07-15 14:16:12,ACC-0447,ACC-0323,68018.97,INR,CASH,transfer,groceries,Kolkata,completed,,
TXN-469240F1A8F4,2026-07-15 14:32:32,ACC-0308,ACC-0371,20886.23,INR,UPI,transfer,,Delhi,completed,,
TXN-6D025EFC44D8,2026-07-15 14:40:45,ACC-0422,ACC-0374,16622.7,INR,UPI,transfer,medical,Chennai,completed,,
TXN-48EC5BCE75D8,2026-07-15 14:56:15,ACC-0331,ACC-0221,15434.86,INR,IMPS,transfer,medical,Chennai,completed,,
TXN-78988C5CF03D,2026-07-15 14:59:33,ACC-0473,ACC-0354,33076.04,INR,UPI,transfer,groceries,Chennai,completed,,
TXN-59A848B90F39,2026-07-15 15:06:42,ACC-0201,ACC-0180,14937.52,INR,IMPS,transfer,shopping,Delhi,completed,,
TXN-38C88560D5B3,2026-07-15 15:11:24,ACC-0263,ACC-0214,29153.19,INR,UPI,transfer,utilities,Delhi,completed,,
TXN-B2B23713ED6A,2026-07-15 15:19:20,ACC-0373,ACC-0371,12736.81,INR,IMPS,transfer,subscription,Bangalore,completed,,
TXN-B536EE45F01D,2026-07-15 15:20:21,ACC-0214,ACC-0280,50345.9,INR,UPI,transfer,groceries,Pune,completed,,
TXN-1DF0FB4CE531,2026-07-15 15:35:38,ACC-0506,ACC-0145,12587.71,INR,NEFT,transfer,medical,Bangalore,completed,,
TXN-20880C1F6A00,2026-07-15 15:41:29,ACC-0237,ACC-0148,15017.13,INR,UPI,transfer,fuel,Kolkata,completed,,
TXN-177AE82B7886,2026-07-15 15:44:35,ACC-0428,ACC-0100,22338.93,INR,NEFT,transfer,shopping,Pune,completed,,
